"","value","group","gsm"
"GSM107135",6.15348806603732,"low","GSM107135"
"GSM107136",7.39193633240937,"high","GSM107136"
"GSM107137",7.09049906070878,"high","GSM107137"
"GSM107138",7.14788154698775,"high","GSM107138"
"GSM107139",7.0501076288829,"high","GSM107139"
"GSM107140",7.27571565812324,"high","GSM107140"
"GSM107141",5.81262537406589,"low","GSM107141"
"GSM107142",6.6145702617268,"low","GSM107142"
"GSM107143",7.5634000398301,"high","GSM107143"
"GSM107144",7.20164170641256,"high","GSM107144"
"GSM107145",7.77156887363016,"high","GSM107145"
"GSM107146",6.96212798008758,"high","GSM107146"
"GSM107147",7.01959540926957,"high","GSM107147"
"GSM107148",7.404406526046,"high","GSM107148"
"GSM107149",4.51610924624194,"low","GSM107149"
"GSM107150",6.71199033689143,"low","GSM107150"
"GSM107151",5.83048221573364,"low","GSM107151"
"GSM107152",7.5160580163519,"high","GSM107152"
"GSM107153",7.24831727705225,"high","GSM107153"
"GSM107154",6.32382934088344,"low","GSM107154"
"GSM107155",7.06484271648905,"high","GSM107155"
"GSM107156",7.74930163962501,"high","GSM107156"
"GSM107157",6.4341528133714,"low","GSM107157"
"GSM107158",7.23865009771042,"high","GSM107158"
"GSM107159",7.30590857405157,"high","GSM107159"
"GSM107160",5.93955779578283,"low","GSM107160"
"GSM107161",7.17731168703938,"high","GSM107161"
"GSM107162",6.28892653439985,"low","GSM107162"
"GSM107163",5.05065141189666,"low","GSM107163"
"GSM107164",6.40664401241204,"low","GSM107164"
"GSM107165",7.3606802470443,"high","GSM107165"
"GSM107166",5.47470532451597,"low","GSM107166"
"GSM107167",7.93974648373853,"high","GSM107167"
"GSM107168",7.95502534615051,"high","GSM107168"
"GSM107169",7.96203803887483,"high","GSM107169"
"GSM107170",7.35410763269826,"high","GSM107170"
"GSM107171",8.26101709439123,"high","GSM107171"
"GSM107172",7.48535325519764,"high","GSM107172"
"GSM107173",7.43959664904923,"high","GSM107173"
